STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00190736,"BLUE HILL COOP, MA US",10/13/15,0.11,0,0,76,53,60
USC00190736,"BLUE HILL COOP, MA US",10/14/15,0.16,0,0,70,53,54
USC00190736,"BLUE HILL COOP, MA US",10/15/15,0,0,0,66,41,42
USC00190736,"BLUE HILL COOP, MA US",10/16/15,0,0,0,60,42,51
USC00190736,"BLUE HILL COOP, MA US",10/17/15,0,0,0,60,41,42
USC00190736,"BLUE HILL COOP, MA US",10/18/15,0,0,0,54,29,31
USC00190736,"BLUE HILL COOP, MA US",10/19/15,0,0,0,45,26,28
USC00190736,"BLUE HILL COOP, MA US",10/20/15,0,0,0,48,28,48
USC00190736,"BLUE HILL COOP, MA US",10/21/15,0,0,0,65,48,57
USC00190736,"BLUE HILL COOP, MA US",10/22/15,0.01,0,0,59,51,55
USC00190736,"BLUE HILL COOP, MA US",10/23/15,0,0,0,71,45,47
USC00190736,"BLUE HILL COOP, MA US",10/24/15,0,0,0,49,33,39
USC00190736,"BLUE HILL COOP, MA US",10/25/15,0.01,0,0,50,39,50
USC00190736,"BLUE HILL COOP, MA US",10/26/15,0.03,0,0,59,38,39
USC00190736,"BLUE HILL COOP, MA US",10/27/15,0,0,0,53,36,36
USC00190736,"BLUE HILL COOP, MA US",10/28/15,0,0,0,56,35,46
USC00190736,"BLUE HILL COOP, MA US",10/29/15,1.58,0,0,68,46,65
USC00190736,"BLUE HILL COOP, MA US",10/30/15,0,0,0,72,44,45
USC00190736,"BLUE HILL COOP, MA US",10/31/15,0,0,0,59,32,34
USC00190736,"BLUE HILL COOP, MA US",11/1/15,0,0,0,54,34,49
USC00190736,"BLUE HILL COOP, MA US",11/2/15,0,0,0,59,47,50
USC00190736,"BLUE HILL COOP, MA US",11/3/15,0,0,0,62,44,47
USC00190736,"BLUE HILL COOP, MA US",11/4/15,0,0,0,71,47,52
USC00190736,"BLUE HILL COOP, MA US",11/5/15,0,0,0,66,51,55
USC00190736,"BLUE HILL COOP, MA US",11/6/15,0,0,0,72,55,60
USC00190736,"BLUE HILL COOP, MA US",11/7/15,0,0,0,71,55,55
USC00190736,"BLUE HILL COOP, MA US",11/8/15,0,0,0,61,39,40
USC00190736,"BLUE HILL COOP, MA US",11/9/15,0,0,0,54,38,39
USC00190736,"BLUE HILL COOP, MA US",11/10/15,0,0,0,59,39,48
USC00190736,"BLUE HILL COOP, MA US",11/11/15,0.41,0,0,53,44,44
USC00190736,"BLUE HILL COOP, MA US",11/12/15,0.3,0,0,45,42,43
USC00190736,"BLUE HILL COOP, MA US",11/13/15,0.09,0,0,55,43,47
USC00190736,"BLUE HILL COOP, MA US",11/14/15,0,0,0,57,37,39
USC00190736,"BLUE HILL COOP, MA US",11/15/15,0,0,0,45,31,33
USC00190736,"BLUE HILL COOP, MA US",11/16/15,0,0,0,51,33,45
USC00190736,"BLUE HILL COOP, MA US",11/17/15,0,0,0,59,28,29
USC00190736,"BLUE HILL COOP, MA US",11/18/15,0,0,0,45,29,36
USC00190736,"BLUE HILL COOP, MA US",11/19/15,0,0,0,50,36,41
USC00190736,"BLUE HILL COOP, MA US",11/20/15,1.18,0,0,58,41,55
USC00190736,"BLUE HILL COOP, MA US",11/21/15,0,0,0,58,35,35
USC00190736,"BLUE HILL COOP, MA US",11/22/15,0,0,0,46,35,41
USC00190736,"BLUE HILL COOP, MA US",11/23/15,0.42,0,0,45,32,32
USC00190736,"BLUE HILL COOP, MA US",11/24/15,0,0,0,40,23,24
USC00190736,"BLUE HILL COOP, MA US",11/25/15,0,0,0,42,24,33
USC00190736,"BLUE HILL COOP, MA US",11/26/15,0,0,0,46,33,41
USC00190736,"BLUE HILL COOP, MA US",11/27/15,0,0,0,58,41,49
USC00190736,"BLUE HILL COOP, MA US",11/28/15,0,0,0,63,49,54
USC00190736,"BLUE HILL COOP, MA US",11/29/15,0.19,0,0,54,28,28
USC00190736,"BLUE HILL COOP, MA US",11/30/15,0,0,0,42,27,27
USC00190736,"BLUE HILL COOP, MA US",12/1/15,0,0,0,37,27,33
USC00190736,"BLUE HILL COOP, MA US",12/2/15,0.17,0,0,42,33,37
